applicant_id,race,gender,income,debt_to_income,internal_tenure,credit_score,years_at_address,voluntary_overtime,creditworthy,model_approved_biased,model_approved_fair
1,White,Male,71705,0.322,0.5,701,4.6,4.3,0,1,0
2,Black,Female,73783,0.351,4.5,707,1.4,1.4,0,0,0
3,White,Male,77466,0.347,3.0,671,0.2,5.2,0,0,0
4,Black,Female,49873,0.375,2.7,660,0.8,2.0,0,0,0
5,Black,Male,42903,0.301,2.1,750,1.7,0.7,0,0,0
6,White,Male,73211,0.303,13.1,703,7.6,1.3,0,0,0
7,White,Female,71232,0.196,0.5,634,0.0,0.4,1,1,1
8,White,Male,71194,0.403,0.7,809,10.5,12.6,1,1,1
9,White,Male,66943,0.356,3.6,670,4.4,5.0,0,0,0
10,White,Male,66274,0.324,0.5,655,4.8,1.3,0,0,0
11,Black,Female,56351,0.296,3.1,602,7.4,0.7,0,0,1
12,Black,Female,58593,0.361,2.9,685,2.1,1.4,1,1,1
13,White,Male,85612,0.303,12.4,767,9.3,4.4,1,1,1
14,White,Female,53050,0.312,7.5,782,5.6,0.6,1,0,1
15,Black,Female,56259,0.292,10.2,651,1.1,4.5,1,0,1
16,Black,Female,49782,0.318,0.5,603,1.0,0.2,1,1,0
17,White,Male,71077,0.28,7.1,677,2.1,2.0,1,1,1
18,White,Male,76018,0.21,0.5,706,5.1,7.7,0,0,0
19,White,Male,76076,0.396,3.5,703,3.1,0.3,0,0,0
20,White,Male,77287,0.335,4.5,767,1.6,1.4,0,0,0
21,White,Female,52425,0.274,0.6,634,11.9,2.7,0,0,0
22,White,Female,55501,0.412,3.5,644,4.2,0.3,0,0,0
23,Black,Female,65858,0.478,0.5,636,0.2,1.0,0,0,0
24,White,Female,60794,0.35,1.2,715,4.2,2.3,1,1,1
25,Black,Male,61060,0.377,8.9,636,1.5,0.1,1,1,0
26,White,Male,82546,0.279,0.7,679,25.0,9.0,1,1,1
27,Black,Female,55634,0.372,0.5,707,4.5,2.0,0,0,0
28,Black,Male,63465,0.286,2.1,680,2.9,0.8,0,0,0
29,White,Female,71945,0.437,6.7,650,13.2,5.5,1,0,1
30,White,Male,50833,0.264,0.5,680,3.2,9.8,0,0,1
31,White,Female,58100,0.332,1.5,722,0.5,2.5,1,1,1
32,White,Male,76686,0.236,8.1,644,5.6,14.1,1,1,1
33,Black,Female,64876,0.392,0.5,675,11.7,0.8,1,0,1
34,Black,Male,58660,0.58,1.3,641,0.2,6.6,1,0,1
35,White,Female,54552,0.279,5.3,715,0.9,0.3,1,0,1
36,White,Male,63819,0.401,2.7,710,9.6,7.7,1,1,1
37,White,Male,80838,0.298,6.3,651,10.6,2.4,0,0,0
38,White,Female,60822,0.378,0.5,667,3.0,1.1,0,1,0
39,Black,Male,57927,0.467,8.9,727,0.5,6.4,0,0,1
40,Black,Female,57150,0.429,9.6,764,9.9,0.0,0,0,0
41,White,Female,33984,0.305,0.6,614,1.7,2.0,1,1,0
42,White,Male,92003,0.287,0.5,755,9.3,4.5,1,1,0
43,Black,Male,50689,0.369,16.1,672,0.6,3.2,0,0,1
44,White,Male,74419,0.431,2.3,804,2.7,2.8,0,0,0
45,Black,Male,40953,0.276,3.0,631,4.9,20.0,0,1,0
46,Black,Female,46774,0.286,3.3,694,4.9,2.8,0,0,0
47,White,Female,75446,0.211,5.5,683,4.0,0.8,1,1,1
48,White,Male,52838,0.237,5.8,766,3.8,4.4,1,1,0
49,White,Male,83262,0.349,0.8,815,6.0,5.9,1,1,1
50,Black,Male,55263,0.433,0.9,668,9.9,9.7,0,0,1
51,White,Male,76871,0.257,7.3,650,14.8,4.5,1,1,1
52,Black,Female,57575,0.408,6.0,718,0.1,0.5,1,0,1
53,White,Male,76414,0.222,3.4,732,3.0,0.6,0,0,0
54,White,Female,54350,0.258,18.3,716,0.9,3.7,0,0,0
55,White,Male,68354,0.341,4.7,780,1.2,1.1,0,0,0
56,White,Male,57384,0.373,0.9,650,16.4,7.2,1,1,1
57,White,Female,67917,0.297,6.6,663,4.0,4.7,0,0,0
58,White,Female,80020,0.444,1.9,726,8.3,0.1,0,0,0
59,Black,Male,39755,0.448,0.5,622,4.0,6.3,0,0,0
60,Black,Female,43383,0.521,1.4,635,0.2,2.3,1,1,0
61,Black,Male,56182,0.359,5.0,719,1.1,0.3,0,0,0
62,White,Male,73733,0.406,11.3,725,2.3,4.0,1,1,1
63,Black,Male,66791,0.533,1.1,601,1.5,0.6,0,0,1
64,Black,Female,49478,0.381,1.0,670,0.9,0.5,1,0,1
65,White,Female,59840,0.319,2.9,757,8.3,1.5,0,0,0
66,White,Female,74031,0.264,5.8,706,0.4,1.4,0,0,0
67,Black,Female,57619,0.33,4.8,692,1.6,3.7,0,0,0
68,White,Male,77389,0.221,2.9,680,0.6,1.6,1,1,1
69,White,Female,64125,0.273,3.5,710,12.8,1.0,0,0,0
70,White,Male,81831,0.319,1.0,629,6.3,1.7,1,1,1
71,White,Male,65436,0.246,2.0,735,20.4,2.7,1,1,1
72,Black,Male,50073,0.397,1.0,675,0.3,0.1,0,0,0
73,Black,Female,58461,0.429,7.6,589,5.8,2.2,0,0,0
74,White,Male,55749,0.267,0.5,778,0.7,9.7,1,1,0
75,White,Male,72921,0.296,4.0,732,2.8,16.9,0,0,0
76,Black,Male,54834,0.343,1.1,624,1.2,8.0,0,0,0
77,Black,Female,36942,0.388,2.3,682,0.3,2.8,0,0,0
78,White,Female,53687,0.273,1.2,650,11.1,0.1,1,1,1
79,White,Male,70910,0.306,1.4,664,1.1,3.1,1,1,1
80,White,Female,73339,0.288,1.1,650,4.2,1.4,0,0,0
81,Black,Male,51470,0.298,4.9,609,2.1,10.5,0,0,0
82,White,Male,84133,0.342,1.6,726,25.0,19.9,1,0,1
83,White,Female,63631,0.374,4.5,702,1.9,0.4,1,0,0
84,White,Male,85103,0.378,2.1,740,17.8,3.6,1,1,1
85,Black,Female,44955,0.338,2.8,515,3.1,0.6,1,1,1
86,White,Male,71511,0.266,2.7,686,3.5,15.0,1,1,1
87,Black,Female,54684,0.426,13.0,632,1.2,0.2,0,0,0
88,White,Female,61204,0.295,1.6,700,10.0,1.2,1,1,1
89,White,Female,72530,0.37,0.8,699,12.7,0.4,0,1,0
90,Black,Male,35924,0.415,8.5,668,2.6,3.8,1,1,0
91,White,Female,87224,0.364,0.7,702,1.7,0.0,1,1,1
92,White,Female,71577,0.432,6.3,675,5.3,3.3,0,0,0
93,Black,Female,49264,0.455,0.6,631,1.5,1.3,1,0,0
94,White,Male,66476,0.311,3.8,702,4.0,2.9,1,1,1
95,White,Female,54335,0.316,0.6,722,1.1,0.4,0,1,1
96,White,Male,78456,0.291,9.0,709,2.5,4.3,1,1,1
97,White,Female,72949,0.256,2.9,660,12.7,1.8,0,0,0
98,Black,Female,49374,0.286,1.4,610,3.5,2.2,0,0,0
99,White,Female,74069,0.362,0.5,722,6.1,0.8,0,1,0
100,White,Male,62927,0.386,1.6,741,4.5,9.3,0,0,0
101,White,Male,61161,0.277,4.3,756,8.1,0.5,1,1,1
102,Black,Male,76133,0.491,1.7,634,5.6,4.1,0,0,0
103,White,Female,68911,0.318,1.0,607,25.0,0.8,0,0,0
104,White,Male,85968,0.163,3.0,723,1.4,6.7,0,0,0
105,Black,Male,49460,0.444,1.9,623,1.4,3.1,1,1,1
106,White,Male,62764,0.266,0.6,700,16.3,1.0,1,0,1
107,White,Male,68413,0.371,0.6,712,16.0,2.1,1,0,1
108,White,Male,63759,0.211,4.3,731,4.4,1.4,1,0,1
109,Black,Male,65053,0.409,12.9,700,0.5,2.4,0,0,0
110,Black,Male,50488,0.324,0.9,714,3.1,3.4,0,0,0
111,Black,Female,39283,0.424,5.2,714,5.0,1.8,0,0,0
112,White,Female,64420,0.384,0.5,702,9.6,2.7,1,1,1
113,Black,Female,38100,0.447,1.7,569,1.0,6.9,0,1,1
114,White,Female,45005,0.335,2.5,668,1.5,2.6,1,1,1
115,White,Male,73332,0.204,1.1,772,0.2,0.4,0,0,0
116,Black,Female,33507,0.461,2.6,658,2.6,0.5,0,0,0
117,White,Male,79752,0.372,7.5,809,1.1,2.9,1,1,1
118,White,Male,58046,0.227,10.1,686,1.3,3.6,1,0,1
119,White,Male,49593,0.237,0.5,816,3.7,4.1,1,1,1
120,Black,Female,48062,0.485,1.1,650,4.4,1.1,0,0,0
121,White,Female,64445,0.315,13.5,677,2.1,4.4,1,1,0
122,Black,Male,62914,0.319,1.1,623,0.1,13.7,1,0,1
123,White,Female,64720,0.349,4.1,729,18.8,1.1,1,0,1
124,Black,Male,47406,0.335,1.0,590,0.2,7.5,0,0,0
125,Black,Female,58130,0.421,1.5,624,1.2,2.9,0,0,0
126,Black,Male,67601,0.351,0.7,655,0.2,0.2,0,0,0
127,White,Female,50942,0.307,6.8,589,13.1,0.2,1,1,1
